year_month,product_id,product_name,category,launch_date,unit_price,units_sold,revenue,material_cost,manufacturing_cost,logistics_cost,total_cost,gross_profit,gross_margin_pct
2024-04-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1527,4395,6711165,4745157,671116,335558,5751831,959334,14.29
2024-05-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1564,3568,5580352,3945611,558035,279017,4782663,797689,14.29
2024-06-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1542,3300,5088600,3597915,508860,254430,4361205,727395,14.29
2024-07-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1552,3615,5610480,3966913,561048,280524,4808485,801995,14.29
2024-08-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1551,2998,4649898,3287729,464989,232494,3985212,664686,14.29
2024-09-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1548,3875,5998500,4241264,599850,299925,5141039,857461,14.29
2024-10-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1538,3492,5370696,3797373,537069,268534,4602976,767720,14.29
2024-11-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1523,4523,6888529,4870563,688852,344426,5903841,984688,14.29
2024-12-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1521,3663,5571423,3939298,557142,278571,4775011,796412,14.29
2025-01-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1516,3822,5794152,4096779,579415,289707,4965901,828251,14.29
2025-02-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1535,4805,7375675,5215001,737567,368783,6321351,1054324,14.29
2025-03-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1570,5038,7909660,5592558,790966,395483,6779007,1130653,14.29
2025-04-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1550,3223,4995650,3532195,499565,249782,4281542,714108,14.29
2025-05-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1549,4447,6888403,4870474,688840,344420,5903734,984669,14.29
2025-06-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1536,3960,6082560,4300699,608256,304128,5213083,869477,14.29
2025-07-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1543,2987,4608941,3258771,460894,230447,3950112,658829,14.29
2025-08-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1569,4148,6508212,4601658,650821,325410,5577889,930323,14.29
