transaction_id,company_name,department,transaction_date,amount
T002069,神戸物産株式会社,サポート部,2025-09-07,2043540
T000749,株式会社 東海運輸,経理部,2025-03-03,230872
T000406,阪神運輸,営業部,2025-02-06,460703
T002118,日本化学工業 ,経理部,2025-09-08,714391
T001270,東京メディカル 佐藤様,営業部,2025-05-28,761479
T001335,エービーシー商事 (契約更新),営業部,2025-06-07,1218552
T002395,西日本電気,経理部,2025-10-18,1012947
T001629,大阪電子工業(株) (物流),サポート部,2025-07-04,1730050
T003728,関西エネルギー株式会社,経理部,2026-03-22,319948
T001276,中部不動産(株),経理部,2025-05-07,520863
T002176,東京メディカル ,経理部,2025-09-16,262663
T002327,京都製造,営業部,2025-10-08,2183793
T002894,京都製造株式会社,営業部,2025-12-31,5378522
T002157,九州自動車工業(株)	,サポート部,2025-09-03,296034
T001117,XYZコーポレーション,経理部,2025-05-28,4501421
T000974,兵庫食品工業株式会社,経理部,2025-04-10,369662
T002980,西日本電気株式会社,営業部,2025-12-15,473859
T000075,京都製造(株),サポート部,2025-01-28,2990928
T003267,未設定,営業部,2026-01-08,317826
T000115,株式会社 関西エネルギー  ,営業部,2025-01-07,477501
T002775,株式会社 東海運輸 高橋課長,サポート部,2025-11-04,88985
T000727,(株)北海道乳業,サポート部,2025-03-28,450858
T001503,兵庫食品工業(株),営業部,2025-06-27,270583
T001699,日本化学工業,経理部,2025-07-01,232240
T002595,株式会社 京都製造 (4月から),サポート部,2025-11-15,6409401
T000835,大阪電子工業株式会社,営業部,2025-04-10,2298213
T000965,兵庫食品工業(株),経理部,2025-04-23,796289
T000644,大阪鉄鋼株式会社,サポート部,2025-03-13,915892
T000712,九州自動車工業 ,サポート部,2025-03-05,308133
T000232,株式会社 山陽建設,営業部,2025-01-30,76893
T003640,大阪電子工業株式会社,営業部,2026-03-23,4626271
T001823,株式会社 大阪電子工業,経理部,2025-08-06,940182
T002009,株式会社 大阪電子工業,経理部,2025-09-22,1404764
T002991,西日本電気(株),経理部,2025-12-30,624439
T000486,(株)東北機械工業,営業部,2025-02-01,120231
T002550,XYZコーポレーション,営業部,2025-11-20,5115058
T003754,西日本電気(株),サポート部,2026-03-14,476207
T002653,(株)西日本電気,サポート部,2025-11-15,730295
T002116,日本化学工業株式会社 渡辺さん,経理部,2025-09-04,435424
T001040,瀬戸内テクノロジー ,サポート部,2025-04-24,60645
T001337,(株)ABC商事,営業部,2025-06-14,1740024
T002962,株式会社 大阪鉄鋼,営業部,2025-12-13,673793
T001327,,サポート部,2025-06-21,4111393
T000533,XYZコーポレーション [要確認],サポート部,2025-03-25,3799635
T000524,株式会社 ABC商事,経理部,2025-03-30,5596299
T000164,兵庫食品工業(株),サポート部,2025-01-27,589518
T002462,東京メディカル株式会社,営業部,2025-10-01,927327
T000716,九州自動車工業 ,経理部,2025-03-09,833089
T003149,XYZコーポレーション,サポート部,2026-01-15,2762313
T001354,XYZコーポレーション (医療),サポート部,2025-06-21,3401707
T000063,大阪電子工業(株),経理部,2025-01-11,2687789
T000396,株式会社 日本化学工業,営業部,2025-02-17,322260
T001831,大阪電子工業 購買部,サポート部,2025-08-28,3883746
T003441,京都製造(株) 購買部,経理部,2026-02-08,1617929
T000654,西日本電気株式会社 (食品),サポート部,2025-03-27,593096
T003285,兵庫食品工業 ,経理部,2026-01-17,465716
T000068,未設定,サポート部,2025-01-22,2301993
T001621,大阪電子工業 経理部,経理部,2025-07-21,1285279
T002794,ジャパン医薬品株式会社,経理部,2025-11-15,69641
T001839,株式会社 京都製造,サポート部,2025-08-03,1264490
T001284,中部不動産株式会社  ,経理部,2025-05-24,769508
T001476,N/A,経理部,2025-06-04,379420
T003710,神戸物産株式会社,経理部,2026-03-22,4993801
T001778,新潟食品株式会社,経理部,2025-07-02,177652
T002513,ABC商事株式会社,営業部,2025-11-09,4501335
T000112,関西エネルギー,サポート部,2025-01-03,460247
T000409,阪神運輸株式会社,経理部,2025-02-06,703681
T003677,京都製造株式会社,サポート部,2026-03-10,2621155
T003462,(株)神戸物産 (物流),営業部,2026-02-25,6014734
T001565,株式会社 大阪ファイナンス,サポート部,2025-06-30,192798
T003011,阪神運輸(株) (4月から),経理部,2025-12-02,810730
T000494,エービーシー商事,営業部,2025-03-01,1943458
T003308,北海道乳業株式会社,営業部,2026-01-19,441827
T002192,近畿システムズ株式会社,営業部,2025-09-26,148568
T000922,(不明),営業部,2025-04-15,568591
T001951,瀬戸内テクノロジー(株),経理部,2025-08-31,157579
T001144,株式会社 京都製造,営業部,2025-05-07,1776312
T002636,関西エネルギー(株),経理部,2025-11-14,339565
T001537,(株)中部不動産,経理部,2025-06-09,663518
T002682,日本化学工業 田中様,営業部,2025-11-14,900811
T001174,株式会社 神戸物産,営業部,2025-05-21,3789192
T003647,旧株式会社 大阪電子工業,営業部,2026-03-24,4991943
T001370,XYZコーポレーション 山田部長,経理部,2025-06-15,1979615
T002297,大阪電子工業 (食品),営業部,2025-10-05,5574128
T003630,XYZコーポレーション 鈴木様,サポート部,2026-03-01,1880547
T000472,山陽建設 総務部,営業部,2025-02-05,69927
T000630,（株）関西エネルギー,経理部,2025-03-13,562864
T000947,株式会社 日本化学工業  ,経理部,2025-04-22,621536
T002779,山陽建設株式会社,経理部,2025-11-10,245736
T001692,西日本電気株式会社,営業部,2025-07-18,284634
T003493,大阪鉄鋼,経理部,2026-02-02,545964
T003386,エービーシー商事 佐藤様,サポート部,2026-02-17,1336423
T000581,京都製造   ,経理部,2025-03-27,2924979
T002830,XYZコーポレーション,営業部,2025-12-02,6786227
T001593,ABC商事株式会社 鈴木様,営業部,2025-07-07,3040889
T002911,旧京都製造（株）,サポート部,2025-12-29,6639883
T001641,大阪電子工業株式会社 [要確認],経理部,2025-07-04,1934028
T000921,大阪鉄鋼株式会社  ,サポート部,2025-04-22,208887
T002704,兵庫食品工業 ,経理部,2025-11-19,875425
T003199,京都製造(株) 高橋課長,サポート部,2026-01-21,5485593
T002746,東京メディカル株式会社,サポート部,2025-11-24,794496
T000012,エービーシー商事,営業部,2025-01-28,1459901
T001265,北海道乳業株式会社,営業部,2025-05-01,384630
T002023,大阪電子工業株式会社,営業部,2025-09-22,1636889
T001463,(不明),営業部,2025-06-16,581242
T003685,神戸物産株式会社 経営企画,営業部,2026-03-28,6145669
T001793,株式会社ABC商事,サポート部,2025-08-16,1864012
T001749,東京メディカル,経理部,2025-07-13,705594
T000025,ABC商事,サポート部,2025-01-28,2385917
T002988,西日本電気,サポート部,2025-12-20,787728
T000886,神戸物産(株)  ,経理部,2025-04-06,2291995
T002954,(株)関西エネルギー,サポート部,2025-12-21,337678
T001107,XYZコーポレーション  ,経理部,2025-05-24,3072691
T000666,西日本電気株式会社  ,営業部,2025-03-16,846634
T003387,XYZコーポレーション [要確認],経理部,2026-02-23,3179039
T002376,N/A,経理部,2025-10-24,672414
T003558,株式会社 東海運輸 (医療),営業部,2026-02-18,131190
T003105,(株)東北機械工業,営業部,2025-12-11,165130
T002586,京都製造(株),経理部,2025-11-24,5824275
T000544,XYZコーポレーション  ,経理部,2025-03-13,4141819
T000539,XYZコーポレーション,営業部,2025-03-03,2634800
T002501,新潟食品,サポート部,2025-10-22,165583
T000123,N/A,経理部,2025-01-19,221753
T002902,京都製造株式会社,サポート部,2025-12-02,1832695
T002759,旧中部不動産,サポート部,2025-11-27,413961
T002188,中部不動産(株),サポート部,2025-09-28,261888
T003486,大阪鉄鋼株式会社,経理部,2026-02-09,704545
T001576,(株)新潟食品,サポート部,2025-06-01,90120
T003520,九州自動車工業,営業部,2026-02-25,424894
T003590,株式会社 ABC商事,サポート部,2026-03-08,7920746
T000453,東京メディカル株式会社,サポート部,2025-02-17,668112
T003145,(株)ABC商事,営業部,2026-01-11,3295811
T000127,西日本電気,サポート部,2025-01-15,292337
T001435,神戸物産 ,サポート部,2025-06-23,2782490
T000511,株式会社ABC商事,経理部,2025-03-13,4077811
T003668,京都製造株式会社,サポート部,2026-03-09,6890374
T000601,京都製造,営業部,2025-03-05,5336449
T003211,(株)京都製造,営業部,2026-01-17,2857179
T001060,(株)ABC商事,サポート部,2025-05-12,1236765
T000672,日本化学工業,経理部,2025-03-01,596667
T000695,兵庫食品工業 [要確認],経理部,2025-03-06,285374
T000070,京都製造(株),営業部,2025-01-23,2610522
T002933,神戸物産株式会社,営業部,2025-12-21,2641478
T003232,旧神戸物産(株),営業部,2026-01-20,3934953
T000008,株式会社 ABC商事 高橋課長,サポート部,2025-01-08,4446889
T002652,(株)大阪鉄鋼,営業部,2025-11-13,271061
T000946,日本化学工業,サポート部,2025-04-16,431287
T003557,(株)東海運輸,経理部,2026-02-08,75510
T002081,神戸物産株式会社,サポート部,2025-09-22,1756722
T000044,XYZコーポレーション,営業部,2025-01-31,4683131
T000253,-,サポート部,2025-01-20,161703
T002051,京都製造株式会社,営業部,2025-09-28,4088192
T002996,日本化学工業株式会社 購買部,営業部,2025-12-27,573458
T000225,東海運輸株式会社,サポート部,2025-01-27,188027
T003092,大阪ファイナンス,営業部,2025-12-27,141748
T002010,大阪電子工業  ,営業部,2025-09-21,1106593
T000129,西日本電気 ,営業部,2025-01-20,722707
T002695,阪神運輸株式会社  ,営業部,2025-11-05,936881
T001297,四国電機株式会社,営業部,2025-05-06,135661
T001345,XYZコーポレーション,経理部,2025-06-10,3688753
T002217,東北機械工業,営業部,2025-09-16,151861
T002564,大阪電子工業   ,営業部,2025-11-17,2401743
T000390,西日本電気株式会社,サポート部,2025-02-03,603792
T003490,株式会社 大阪鉄鋼,営業部,2026-02-17,581767
